Lambda,Circuit,Converged,Iterations,Error,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6
0.1,1,1,291,NaN,6.84491915362474,-1.06951892867507,-1.0695180222245,-5.77540418123408,-1.06951780589378,-6.8449218834172
0.1,2,1,339,NaN,4.97206736736602,1.29609007694093,3.67597770235543,1.68715077996369,0.391060956271201,
0.1,3,1,220,NaN,3.26633083321151,1.90954804606686,-0.20100560418063,3.46733648681351,1.70854361810104,
0.2,1,1,152,NaN,6.84492065756064,-1.06951878584352,-1.06951907069618,-5.77540004381255,-1.06951905628849,-6.84491871147185
0.2,2,1,184,NaN,4.97206727615128,1.29608977873646,3.67597766490563,1.68715085314442,0.391061126932642,
0.2,3,1,116,NaN,3.26633196363669,1.90954769759644,-0.20100479399305,3.46733664567159,1.70854246337647,
0.3,1,1,102,NaN,6.8449184763325,-1.06951839086343,-1.06951846060065,-5.77540073564249,-1.06951866099842,-6.84492053180256
0.3,2,1,137,NaN,4.97206690354462,1.29608913590396,3.67597764733878,1.68715082647092,0.391061652168634,
0.3,3,1,80,NaN,3.26633150339025,1.90954774911332,-0.201005149976411,3.46733672874799,1.70854281481215,
0.4,1,1,78,NaN,6.84492063834553,-1.06951895834482,-1.06951886218347,-5.77540151470712,-1.06951872472861,-6.84491937913327
0.4,2,1,112,NaN,4.97206731514304,1.29608989092988,3.67597765643682,1.68715088783601,0.391061048244391,
0.4,3,1,61,NaN,3.26633178150402,1.90954771944783,-0.20100491747527,3.46733664163464,1.7085426403344,
0.5,1,1,64,NaN,6.84491897945006,-1.0695185254568,-1.06951855646041,-5.77540094427504,-1.06951863599514,-6.84492024668441
0.5,2,1,118,NaN,4.97206683536543,1.29608901634756,3.67597766040799,1.68715077884917,0.391061742614324,
0.5,3,1,53,NaN,3.26633171407397,1.90954775993861,-0.201004976887142,3.46733663555392,1.70854271536753,
0.6,1,1,57,NaN,6.84491925494688,-1.06951857096872,-1.06951861361969,-5.77540085455557,-1.06951866902092,-6.84492006979738
0.6,2,1,178,NaN,4.97206713893608,1.29608960243038,3.67597764824119,1.68715087597764,0.391061289714971,
0.6,3,1,49,NaN,3.26633162033808,1.90954773062923,-0.201005061767299,3.46733671711356,1.70854270964307,
0.7,1,1,55,NaN,6.84492027494424,-1.06951882271737,-1.06951881283346,-5.77540106046363,-1.06951879028257,-6.84491950735067
0.7,2,0,1000,0.120590877575915,5.3414447007787,1.80745359010533,3.6155417963107,1.89422543131214,0.0433557260269712,
0.7,3,1,50,NaN,3.26633171647647,1.90954777630136,-0.201004970797165,3.46733661103999,1.70854275415174,
0.8,1,1,62,NaN,6.84491951030649,-1.06951864073058,-1.06951865495436,-5.77540097713183,-1.06951867013343,-6.84491995437654
0.8,2,0,1000,1.06313346060144e+55,3.73452408697816e+54,-5.28898258677238e+55,-2.77588581402497e+54,4.95932138607599e+52,4.36863783322261e+55,
0.8,3,1,72,NaN,3.26633163189727,1.90954771165055,-0.201005048736951,3.46733672361689,1.70854267987599,
0.9,1,1,90,NaN,6.8449195003279,-1.0695186328595,-1.06951864252625,-5.77540095219832,-1.06951865206163,-6.8449199856996
0.9,2,0,1000,1.79014670477076e+123,-3.09654635932286e+123,-8.15096135899639e+123,7.95050900139404e+122,-2.90097851558223e+123,5.16545563292978e+123,
0.9,3,1,221,NaN,3.26633170790383,1.90954780351871,-0.201004981180385,3.46733659589685,1.70854280503493,
